"","AD3","WT3","AD4","WT4","AD6","WT6","AD9","WT9","AD11","WT11","mo3_log2fc","mo3_P","mo3_Q","mo4_log2fc","mo4_P","mo4_Q","mo6_log2fc","mo6_P","mo6_Q","mo9_log2fc","mo9_P","mo9_Q","mo11_log2fc","mo11_P","mo11_Q","disease","age","interaction","diseaseQ","ageQ","interactionQ"
"Q9WUB3",-0.0377697400278474,-0.0744052826567395,-0.085932603162026,-0.0942567262184151,0.0183838361763949,0.099026317841419,-0.0142504211128698,-0.0176052038676384,0.0739637662174877,0.144407287052193,0.0366355426288921,0.701703183648174,0.938853989044368,0.00832412305638913,0.941022571238175,0.997847168882565,-0.0806424816650241,0.441848457753153,0.941017695231671,0.00335478275476862,0.962663419208482,0.994969500425449,-0.0704435208347051,0.429359179684285,0.812026326778448,0.224465120009155,0.00469494716307814,0.333242012494403,0.53636303772647,0.020412586943472,0.020412586943472
"Q9WUB4",-0.058136618493228,-0.0529742683737476,-0.0120125199198953,0.216843040320366,-0.172997851677501,-0.0546063342165082,-0.040890570941011,-0.589212609433713,0.117381596766466,-0.0123107980728876,-0.00516235011948039,0.969267383175069,0.991637542097027,-0.228855560240261,0.253090437722382,0.969579718056114,-0.118391517460993,0.63707574267632,0.956843569334793,0.548322038492702,0.0156877241445597,0.50611813399902,0.129692394839354,0.244401508586555,0.695652920084519,0.609114330472468,0.823202757544003,0.199346388390094,0.819399874598693,0.89120260045886,0.89120260045886
"Q9WUC3",-0.0571937416577406,0.00486994593645835,-0.0870723553961814,0.079825570998004,-0.0209874161073797,0.135944384901285,0.0142436236447046,0.241557587493567,0.0774278952448088,0.0865898408501245,-0.062063687594199,0.67339555393805,0.928413175076523,-0.166897926394185,0.469024486798593,0.971431138361873,-0.156931801008665,0.433563592830079,0.941017695231671,-0.227313963848862,0.122029885307801,0.706245596374941,-0.00916194560531562,0.952176506478877,0.989319751685732,0.0909179507254328,0.223515926244068,0.711581890742991,0.357549689636803,0.367177925857699,0.367177925857699
"Q9WUD1",-0.432401361319939,-0.226484286162537,-0.520359606327307,-0.442202350311862,0.0495775797126762,-0.0515984521467506,0.0978318997368918,-0.0827667821371244,-0.0647851430265501,-0.264169160349797,-0.205917075157402,0.595456814699021,0.916665985614167,-0.0781572560154452,0.828315571766798,0.997847168882565,0.101176031859427,0.769520867831768,0.977075331258929,0.180598681874016,0.590395934395246,0.929854235342651,0.199384017323247,0.586227403515655,0.877078373328524,0.660725008328735,0.146514606719781,0.197382227710269,0.843096247524679,0.272357081280049,0.272357081280049
"Q9WUK2",0.0458961561394694,-0.144874299078592,0.105476162015651,0.0367988134529619,0.0393901781305346,0.0712757850792768,0.197604658547424,0.236928774083936,-0.0291002961215698,-0.178416730613552,0.190770455218062,0.0995285864774308,0.755843439120122,0.0686773485626887,0.637106675318767,0.987445030791287,-0.0318856069487422,0.885275532273448,0.992176885143052,-0.0393241155365119,0.861207409953826,0.983104749311868,0.149316434491983,0.253027650058533,0.698958317813065,0.116827634405667,0.816299234198787,0.681728413778702,0.397173356585034,0.885795591630575,0.885795591630575
"Q9WUL7",0.0817181821647897,-0.00130139226601369,-0.00412621598004523,0.161485682848862,0.0067591728146572,0.139050964475659,-0.0435026221595334,-0.019230333042252,-0.0967351354641951,0.0286886918187246,0.0830195744308034,0.0739197559063552,0.755843439120122,-0.165611898828907,0.199124947704395,0.969579718056114,-0.132291791661002,0.190867798343619,0.90059180277263,-0.0242722891172815,0.768036032387152,0.967694975046788,-0.12542382728292,0.0356680903350885,0.401061027244831,0.0452281634422722,0.0212748371664518,0.305396050816123,0.247356466152739,0.0638898218206646,0.0638898218206646
"Q9WUM3",-0.0481198911636965,-0.172617228528935,0.017748329305581,0.036082125344208,-0.0707659678108087,-0.153323054336226,0.000323934761611008,0.142156114413236,-0.0499761135960968,0.0176897441353907,0.124497337365238,0.150606700418216,0.779756929879039,-0.0183337960386271,0.841591953171158,0.997847168882565,0.0825570865254174,0.657587233325402,0.963431753596694,-0.141832179651624,0.226992592445384,0.786863189696119,-0.0676658577314875,0.61465618796189,0.889520128593062,0.946113512333567,0.217648992967561,0.240752054714217,0.978189213941191,0.359805876418278,0.359805876418278
"Q9WUM4",0.0565723864770807,0.00196045186192586,0.0853581406927616,0.120073855935902,0.0193604679329448,0.0166416811055602,-0.0736797947063453,-0.0285041076571218,0.00530855745689714,0.00614327133630248,0.0546119346151548,0.217767583166758,0.795308967051643,-0.0347157152431406,0.593021310545227,0.987361816544365,0.00271878682738461,0.973886073917163,0.997173059559309,-0.0451756870492235,0.323188222356268,0.856891112256389,-0.000834713879405346,0.98905007915982,0.99762288884247,0.70266206522352,0.0194648796986619,0.291607987878942,0.864084431558653,0.059926100913347,0.059926100913347
"Q9WUM5",-0.0259545097584955,0.0103255631948605,-0.252207628028161,0.0316817810308438,0.0678576931318867,0.159707572700433,-0.0429155215896236,-0.144448396362942,-0.124588539602789,-0.0347203387421634,-0.036280072953356,0.844156658843165,0.970230327440409,-0.283889409059005,0.285811685259856,0.969579718056114,-0.0918498795685461,0.343125609946195,0.929583012175727,0.101532874773319,0.571297962830064,0.923560200730519,-0.0898682008606252,0.531809340797765,0.854508659510671,0.309029746216317,0.592546075365108,0.528325222418967,0.620437864004335,0.722315511807996,0.722315511807996
"Q9WUP7",0.0158674358695254,-0.0898791329420802,-0.100298838510963,0.0913338926366142,-0.00420673823534207,-0.141866112570321,-0.133587795763374,-0.0557924734252637,-0.169006664375729,-0.0129552406539387,0.105746568811606,0.677124558116135,0.928413175076523,-0.191632731147577,0.103399439273273,0.969579718056114,0.137659374334979,0.381745258991248,0.93403535752139,-0.0777953223381106,0.654303170298992,0.944165157039653,-0.15605142372179,0.171949130812483,0.629407809980587,0.581061844841247,0.467678494941618,0.302612126708847,0.801500490008024,0.617001331998162,0.617001331998162
