"","AD3","WT3","AD4","WT4","AD6","WT6","AD9","WT9","AD11","WT11","mo3_log2fc","mo3_P","mo3_Q","mo4_log2fc","mo4_P","mo4_Q","mo6_log2fc","mo6_P","mo6_Q","mo9_log2fc","mo9_P","mo9_Q","mo11_log2fc","mo11_P","mo11_Q","disease","age","interaction","diseaseQ","ageQ","interactionQ"
"Q9R1R2",-0.111328949905573,0.0297947713449867,-0.0813839120473841,-0.0825128407875349,-0.0164944569693536,-0.0500827019053673,0.0450908877508597,-0.0691988665863483,-0.0579201838957044,0.0484530845435973,-0.141123721250559,0.19954278615232,0.795308967051416,0.00112892874015082,0.992384544571214,0.997905885256487,0.0335882449360136,0.848558034717883,0.983962950979869,0.114289754337208,0.31399187625025,0.850170453278749,-0.106373268439302,0.268639843738698,0.709644851773622,0.586600306392052,0.217621577508614,0.684850279291222,0.805109434904279,0.359805876418443,0.981106507342124
"Q9R1T2",-0.127071428261067,-0.202926912290149,-0.0702668634855105,-0.277265841784773,0.0428331305671767,0.0483351971820237,0.130958708063291,0.294861706708053,0.192368055026569,0.107487353286153,0.0758554840290818,0.547561267180198,0.906348239626106,0.206998978299262,0.292208105480527,0.96957971805603,-0.00550206661484703,0.980149153711942,0.997361787258937,-0.163902998644761,0.468069124141469,0.90045567978507,0.0848807017404159,0.605459419924565,0.886662690929948,0.69189420644681,0.00100170605701143,0.761797353137374,0.85730906580949,0.00623159904783105,0.989125062776272
"Q9R1T4",-0.0682863830859955,0.188531574971696,0.0417724194655471,0.197394147393216,0.00136667794845938,0.0141608769936389,-0.079011757906618,0.0191526952964506,-0.0228361551770567,0.0160262720940508,-0.256817958057692,0.0769814705007257,0.755843439119931,-0.155621727927669,0.135405724911533,0.96957971805603,-0.0127941990451795,0.874595428626513,0.988147758303011,-0.0981644532030685,0.258447628411445,0.817018127586268,-0.0388624272711074,0.740850214193122,0.93134183968468,0.0168091685202847,0.0773184494137646,0.221538941712726,0.15011678899729,0.171194859682219,0.915360321656872
"Q9R1V4",-0.0533243041049535,-0.110511002931553,-0.0874893623611742,-0.0205800708258727,-0.0105023196340473,0.0210940668772369,0.0980247873693143,0.217806601334496,0.115748629277496,0.189350162138814,0.0571866988265993,0.527312675701732,0.900947098219201,-0.0669092915353015,0.609208788712716,0.987361816544525,-0.0315963865112842,0.653371904880454,0.962954524970703,-0.119781813965182,0.202546736241231,0.771084529719023,-0.0736015328613188,0.426555829776446,0.811430705841144,0.157580762713516,4.89310628352033e-06,0.365580597511854,0.452124670778564,8.98907271709628e-05,0.922465147402107
"Q9R1V6",-0.04956605826736,0.138294868374459,0.0640407261356234,0.0456672023360752,-0.0621641440388144,0.0201399058661741,-0.0395531606065607,0.0435578421612781,-0.201879626419001,-0.0739268694746126,-0.187860926641819,0.039217812489735,0.677333289293373,0.0183735237995481,0.849723452032972,0.997847168882505,-0.0823040499049885,0.156935292700252,0.89843343359614,-0.0831110027678389,0.148295376301412,0.728080059557622,-0.127952756944388,0.109887605563845,0.560613038554533,0.0253048521016194,0.000527315964924302,0.710234290572802,0.187533875518251,0.00380698776890922,0.982725169381674
"Q9R1V7",-0.0925278729618348,0.206040746341838,-0.0684153846981868,0.0761954996789461,-0.0523801718973124,0.0954415865123352,0.0831970848264407,0.0750797843443452,-0.14196334544948,0.195084149185292,-0.298568619303673,0.0883968917770859,0.755843439119931,-0.144610884377133,0.322657285749082,0.96957971805603,-0.147821758409648,0.174866312509512,0.89843343359614,0.00811730048209551,0.945911587147412,0.994969500425625,-0.337047494634772,0.0642500013225276,0.466438321289519,0.00396853047584973,0.570953567945305,0.856717072728232,0.0712333016146788,0.703506415720516,0.992638607245061
"Q9R1Z7",-0.0302450392913723,0.0695991672469283,0.0779887438334199,-0.0110522060935331,0.0132176857384922,-0.063412243180703,-0.060999979115118,-0.0558187802471668,-0.0193997479416538,-0.0132601687130865,-0.0998442065383006,0.107247461601224,0.755843439119931,0.089040949926953,0.128039334529967,0.96957971805603,0.0766299289191952,0.286372403867587,0.915152551978879,-0.00518119886795126,0.935365111588015,0.992781726429363,-0.00613957922856729,0.912803729307685,0.982040137686883,0.980039002301152,0.108432523041075,0.88424325331849,0.991150668444249,0.218653525676485,0.996986435055421
"Q9R226",-0.0311305320397275,0.0575031582144522,0.161040929642528,0.0661102242611517,-0.215466576113006,-0.071611176663326,-0.123316106308143,0.0170824690193123,-0.30169378710791,-0.135380464015662,-0.0886336902541796,0.715575379028405,0.938853989044219,0.0949307053813766,0.648641286777164,0.987445030791325,-0.14385539944968,0.352005032783461,0.929674973484846,-0.140398575327456,0.528586812708424,0.915608764111582,-0.166313323092249,0.267379935700557,0.709644851773622,0.413927422704116,0.0309959289287968,0.579645560478701,0.702384217277193,0.084285663584699,0.974347605165207
"Q9WTI7",0.00877853748292188,0.0181912751853172,-0.0757930048412032,0.0174812328432259,-0.128706844496826,-0.0664342770228534,-0.166085709361243,-0.117096344791638,-0.0224190178147025,-0.0368197767233802,-0.00941273770239531,0.915783714191765,0.982770152201996,-0.0932742376844291,0.275188125353083,0.96957971805603,-0.0622725674739729,0.795217893650111,0.978210505455166,-0.0489893645696051,0.652197337239859,0.944165157039087,0.0144007589086777,0.871917051606079,0.972172855182812,0.361080555082824,0.319968014613363,0.942153397878621,0.671367558386224,0.474076047399503,0.997056020886201
"Q9WTK7",0.0389217161400349,0.0367098932542349,-0.112891178828253,0.196726941151232,0.0233418948376167,0.112820485228143,0.00415380239493263,-0.126082353305546,0.0762611399189349,0.14778168874602,0.00221182288579994,0.968749997952419,0.99163754209716,-0.309618119979486,0.181792649638875,0.96957971805603,-0.0894785903905259,0.591974838208717,0.953309387821708,0.130236155700479,0.355936967696119,0.864970037600457,-0.0715205488270856,0.332253416422388,0.753248909884592,0.147762115679293,0.612045550445656,0.65533258969347,0.444154291355211,0.737583689218926,0.976076119322771
"Q9WTL4",-0.0179595987524904,-0.458034507847333,-0.420120224521448,-0.100372311385791,-0.383148690641482,-0.299561264241102,-1.04895076872584,-0.391673146204621,-0.4248599100314,-0.501571618324326,0.440074909094843,0.469205687227138,0.882693199096053,-0.319747913135657,0.523283827710757,0.97505219896771,-0.0835874264003805,0.889562425630024,0.992176885142923,-0.657277622521223,0.111321924887043,0.692720187492723,0.0767117082929265,0.820504234366121,0.961472160119287,0.505678263194206,0.104705029001372,0.348478614647,0.760168668412957,0.213058127135917,0.918269282167855
"Q9WTL7",0.257728778258309,0.270005974387888,0.18205723540014,0.172058639137087,0.308990272151654,0.235694372054625,-0.29534602774184,-0.052520572837256,0.323648778111815,0.133612128233424,-0.0122771961295786,0.905128213072699,0.981925567198587,0.00999859626305258,0.971140027020041,0.997847168882505,0.0732959000970292,0.746019561456943,0.976788615755996,-0.242825454904584,0.335689367849899,0.858600189299033,0.190036649878391,0.239101685949311,0.691216996077493,0.575473889828337,0.105582450191284,0.664553258332569,0.798323701205983,0.21450889283411,0.979863352399066
"Q9WTM5",0.0380279959773428,-0.099108347012708,0.0872771372948197,-0.18761618788519,-0.159546882617811,-0.0963184068912021,-0.0780639657770991,0.21922073781577,-0.10584669373698,-0.0713785706127705,0.137136342990051,0.594219994570933,0.916665985613951,0.27489332518001,0.12865592735935,0.96957971805603,-0.0632284757266094,0.764734624962868,0.977075331258959,-0.29728470359287,0.191542381508694,0.761561440674767,-0.0344681231242092,0.870021315388779,0.972172855182812,0.893925469728563,0.876721382125645,0.231800495615611,0.956122153953834,0.925123424652534,0.915360321656872
